No,City,State,Type,Population,Population class
335,Lakhisarai,Bihar,Nagar Panchayat,pop,Class II
336,Panaji,Goa,Urban Agglomeration,pop,
337,Tinsukia,Assam,Municipal board.,pop,Class II
338,Itarsi,Madhya Pradesh,Municipality,pop,Class II
339,Kohima,Nagaland,Municipal Committee,pop,Class II
340,Balangir,Odisha,Municipality,pop,Class II
341,Nawada,Bihar,Nagar Parishad,pop,Class II
342,Jharsuguda,Odisha,Municipality,pop,Class II
343,Jagtial,Telangana,Municipality,pop,Class II
344,Viluppuram,Tamil Nadu,Municipality,pop,Class II
345,Amalner,Maharashtra,Municipal Council,pop,Class II
346,Zirakpur,Punjab,Municipal Council,pop,Class II
347,Tanda,Uttar Pradesh,Municipal board,pop,Class II
348,Tiruchengode,Tamil Nadu,Municipality,pop,Class II
349,Nagina,Uttar Pradesh,Nagar Palika Parishad,pop,Class II
350,Yemmiganur,Andhra Pradesh,Municipality,pop,Class II
351,Vaniyambadi,Tamil Nadu,Municipality,pop,Class II
352,Sarni,Madhya Pradesh,Municipality,pop,
353,Theni Allinagaram,Tamil Nadu,Municipality,pop,Class II
354,Margao,Goa,Urban Agglomeration,pop,
355,Akot,Maharashtra,Municipal Council,pop,Class II
356,Sehore,Madhya Pradesh,Urban Agglomeration,pop,
357,Mhow Cantonment,Madhya Pradesh,Urban Agglomeration,pop,
358,Kot Kapura,Punjab,Municipal Council,pop,Class II
359,Makrana,Rajasthan,Urban Agglomeration,pop,
360,Pandharpur,Maharashtra,Municipal Council,pop,
361,Miryalaguda,Telangana,Urban Agglomeration,pop,
362,Shamli,Uttar Pradesh,Municipal board,pop,
363,Seoni,Madhya Pradesh,Municipality,pop,
364,Ranibennur,Karnataka,City Municipal Council,pop,
365,Kadiri,Andhra Pradesh,Municipality,pop,Class II
366,Shrirampur,Maharashtra,Urban Agglomeration,pop,
367,Rudrapur,Uttarakhand,Municipal board,pop,
368,Parli,Maharashtra,Municipal Council,pop,
369,Najibabad,Uttar Pradesh,Municipal board,pop,Class II
370,Nirmal,Telangana,Municipality,pop,Class II
371,Udhagamandalam,Tamil Nadu,Municipality,pop,Class II
372,Shikohabad,Uttar Pradesh,Municipal board,pop,
373,Jhumri Tilaiya,Jharkhand,Nagar Panchayat,pop,Class II
374,Aruppukkottai,Tamil Nadu,Municipality,pop,Class II
375,Ponnani,Kerala,Municipality,pop,
376,Jamui,Bihar,Nagar Panchayat,pop,Class II
377,Sitamarhi,Bihar,Urban Agglomeration,pop,
378,Chirala,Andhra Pradesh,Municipality,pop,Class II
379,Anjar,Gujarat,Municipality,pop,Class II
380,Karaikal,Puducherry,Municipality,pop,Class II
381,Hansi,Haryana,Municipal Council,pop,Class II
382,Anakapalle,Andhra Pradesh,Municipality,pop,Class II
383,Mahasamund,Chhattisgarh,Municipality,85650,Class II
384,Faridkot,Punjab,Municipal Council,pop,Class II
385,Saunda,Jharkhand,Census town,pop,
386,Dhoraji,Gujarat,Municipality,pop,Class II
387,Paramakudi,Tamil Nadu,Municipality,pop,
388,Balaghat,Madhya Pradesh,Municipality,pop,Class II
389,Sujangarh,Rajasthan,Municipality,pop,
390,Khambhat,Gujarat,Municipality,pop,Class II
391,Muktsar,Punjab,Municipal Council,pop,
392,Rajpura,Punjab,Municipal Council,pop,
393,Kavali,Andhra Pradesh,Municipality,pop,Class II
394,Dhamtari,Chhattisgarh,Municipality,pop,Class II
395,Ashok Nagar,Madhya Pradesh,Municipality,pop,Class II
396,Sardarshahar,Rajasthan,Municipality,pop,
397,Mahuva,Gujarat,Urban Agglomeration,pop,
398,Bargarh,Odisha,Municipality,pop,Class II
399,Kamareddy,Telangana,Municipality,pop,Class II
400,Sahibganj,Jharkhand,Municipality,pop,
401,Kothagudem,Telangana,Municipality,pop,Class II
402,Ramanagaram,Karnataka,City Municipal Council,pop,
403,Gokak,Karnataka,City Municipal Council,pop,Class II
404,Tikamgarh,Madhya Pradesh,Municipality,pop,Class II
405,Araria,Bihar,Nagar Panchayat.,pop,Class II
406,Rishikesh,Uttarakhand,Urban Agglomeration,pop,
407,Shahdol,Madhya Pradesh,Municipality,pop,
408,Medininagar (Daltonganj),Jharkhand,Nagar Parishad,pop,Class II
409,Arakkonam,Tamil Nadu,Municipality,pop,Class II
410,Washim,Maharashtra,Municipal Council,pop,Class II
411,Sangrur,Punjab,Municipal Council,pop,
412,Bodhan,Telangana,Municipality,pop,Class II
413,Fazilka,Punjab,Municipal Council,pop,Class II
